Count	80
Mean	97.294
Min	15.966
Max	172.274
Deviation	43.522
Mean confidence	9.683
Sum	7,783.49
From	To	PDF(hits)	CDF(cum hits)
15.9	19.1	1		1
19.1	22.3	1		2
22.3	25.5	2		4
25.5	28.7	1		5
28.7	31.9	0		5
31.9	35.1	1		6
35.1	38.3	2		8
38.3	41.5	2		10
41.5	44.7	2		12
44.7	47.9	2		14
47.9	51.1	1		15
51.1	54.3	0		15
54.3	57.5	0		15
57.5	60.7	2		17
60.7	63.9	2		19
63.9	67.1	2		21
67.1	70.3	1		22
70.3	73.5	3		25
73.5	76.7	4		29
76.7	79.9	4		33
79.9	83.1	2		35
83.1	86.3	1		36
86.3	89.5	2		38
89.5	92.7	0		38
92.7	95.9	1		39
95.9	99.1	0		39
99.1	102.3	3		42
102.3	105.5	3		45
105.5	108.7	2		47
108.7	111.9	1		48
111.9	115.1	2		50
115.1	118.3	3		53
118.3	121.5	0		53
121.5	124.7	2		55
124.7	127.9	1		56
127.9	131.1	3		59
131.1	134.3	2		61
134.3	137.5	2		63
137.5	140.7	1		64
140.7	143.9	0		64
143.9	147.1	4		68
147.1	150.3	1		69
150.3	153.5	2		71
153.5	156.7	1		72
156.7	159.9	0		72
159.9	163.1	1		73
163.1	166.3	2		75
166.3	169.5	4		79
169.5	172.7	1		80

